id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
16531782,On a little park in Albany pine hills. (Blue),5691268,Elizabeth,,FOURTEENTH WARD,42.66075,-73.80605,Private room,60,1,484,2025-03-05,8.06,2,316,103,
17238066,"$53($25 foreign student)Twin, noa/cno
Smoke freeBF",61700428,Abdullah,,FIFTH WARD,42.67614,-73.78169,Private room,,15,132,2024-08-01,1.35,2,364,1,
17514620,Cozy Modern Room Perfect Location Albany,36438637,Chad,,TENTH WARD,42.6584,-73.78309,Private room,41,18,56,2024-11-02,0.57,4,361,2,
18341426,/Sauna Ranch 1961\ SUNY Eagle Hill 4Beds 1Bath,4259750,Peter,,FIFTEENTH WARD,42.67637,-73.82395,Entire home/apt,376,1,58,2024-08-13,0.67,9,365,1,
19527043,Charming 1 Bedroom in a Historic Residential Home,15223767,Ed,,NINTH WARD,42.65312,-73.78161,Private room,70,1,82,2024-09-17,1.03,3,224,11,
19571496,Modern Studio Perfect Location Albany,36438637,Chad,,TENTH WARD,42.6585,-73.78414,Private room,45,18,30,2025-03-08,0.36,4,267,3,
20519885,5Bedroom In Albany 8Year SuperHost,67171774,Michael And Flerida,,FOURTEENTH WARD,42.65846,-73.80201,Entire home/apt,290,3,110,2025-04-15,1.21,1,335,14,
20620135,/Red Warhol Ranch\ 1959 SUNY Eagle Hill 4beds1Bath,4259750,Peter,,FIFTEENTH WARD,42.675,-73.82382,Entire home/apt,148,1,74,2025-04-17,0.81,9,357,19,
20633175,"Garden Apartment, on the Park, close to Capital.",65414985,James,,SEVENTH WARD,42.64939,-73.76865,Entire home/apt,116,2,131,2024-05-12,1.51,2,328,1,
20671966,The Metropolitan,98744672,Bela,,NINTH WARD,42.65532,-73.78244,Entire home/apt,68,2,47,2025-03-14,0.51,8,229,8,
21052414,Cozy bedroom with (2) walk-in closets,135717458,Chad,,THIRTEENTH WARD,42.66565,-73.77975,Private room,36,18,45,2025-03-13,0.54,3,312,5,
21392315,The Blair Suite,98744672,Bela,,NINTH WARD,42.65372,-73.78244,Entire home/apt,60,2,127,2025-04-14,1.40,8,229,14,
21449583,/zBig Blue Ranch\ 1962 SUNY Eagle Hill 4Beds 2Bath,4259750,Peter,,FIFTEENTH WARD,42.67547,-73.82402,Entire home/apt,582,4,8,2018-07-27,0.09,9,365,0,
21752534,"NEW LISTING! Modern, completely updated, LOCATION!",152762198,Allen,,TENTH WARD,42.66045,-73.77833,Entire home/apt,70,3,180,2025-04-10,1.99,9,349,17,
21769213,Cozy downstairs bedroom in quiet neighborhood!,135717458,Chad,,ELEVENTH WARD,42.66572,-73.77834,Private room,32,18,32,2025-02-28,0.36,3,271,8,
21769439,Cozy upstairs room with (1) walk-in closet,135717458,Chad,,ELEVENTH WARD,42.66703,-73.77842,Private room,35,18,26,2025-01-24,0.29,3,348,4,
22398196,Elegant Guest Suite in our beautiful Victorian!,98744672,Bela,,NINTH WARD,42.65501,-73.78122,Private room,54,2,121,2025-04-11,1.36,8,307,16,
24120690,One Bedroom apartment with private entrance,156446839,Domini,,FOURTEENTH WARD,42.65975,-73.81196,Private room,68,2,122,2024-09-07,1.43,1,44,1,
